ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii
154;138;18.7427;0.72;356.276;0.72;1;0;26.59;39.3506;32.8946;0.0;1858358803;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;3
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;20
157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0.0;1858358973;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;4
225;79;27.2241;16.02;314.39;16.02;1;0;16.12;39.3597;32.9035;0.0;1858358961;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;5
114;193;32.536;4.752;303.937;4.752;1;0;23.1;39.3614;32.9081;0.0;1858358983;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;6
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;3
43;132;36.4966;2.592;125.524;2.592;1;0;18.57;39.358;32.9079;0.0;1858359004;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;7
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;4
167;218;42.5885;1.44;127.908;1.44;1;0;27.02;39.357;32.9111;0.0;1858359071;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;8
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;5
144;127;48.2739;56.52;346.619;56.52;1;0;36.48;39.3562;32.9148;0.0;1858359180;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;9
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;6
187;162;50.1141;0.54;240.43;0.54;1;0;34.19;39.3424;32.8954;0.0;1858359181;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;10
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;7
184;146;50.6415;0.432;140.971;0.432;1;0;25.18;39.3569;32.9182;0.0;1858359182;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;11
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;8
163;90;50.2844;2.268;321.768;2.268;1;0;29.65;39.3449;32.8993;0.0;1858359208;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;12
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;9
134;158;53.0914;0.828;233.069;0.828;1;0;40.76;39.3449;32.9003;0.0;1858359208;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;13
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;10
5;86;59.5844;0.612;331.732;0.612;1;0;28.06;39.3494;32.9133;0.0;1858359314;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;14
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;11
54;217;58.6011;2.7;181.351;2.7;1;0;22.97;39.3444;32.9016;0.0;1858359317;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;15
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;12
75;199;13.4363;6.516;98.476;6.516;1;0;17.68;39.365;32.8977;0.0;1858359570;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;199;13.4363;6.516;98.476;6.516;1;0;17.68;39.365;32.8977;0;1858359570;12;0;0;0;0;0;0;0;2
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;13
180;19;11.2006;39.744;158.807;39.744;1;0;21.88;39.3749;32.8988;0.0;1858359718;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;199;13.4363;6.516;98.476;6.516;1;0;17.68;39.365;32.8977;0;1858359570;12;0;0;0;0;0;0;0;3
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;14
28;6;6.11938;64.8;334.155;64.8;1;0;35.57;39.3799;32.8952;0.0;1858359939;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;199;13.4363;6.516;98.476;6.516;1;0;17.68;39.365;32.8977;0;1858359570;12;0;0;0;0;0;0;0;4
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;15
180;252;11.4038;39.78;158.807;39.78;1;0;21.88;39.3747;32.8989;0.0;1858362185;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;199;13.4363;6.516;98.476;6.516;1;0;17.68;39.365;32.8977;0;1858359570;12;0;0;0;0;0;0;0;5
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;16
75;199;14.7986;24.048;102.266;24.048;1;0;20.35;39.3648;32.8985;0.0;1858362341;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;199;14.7986;24.048;102.266;24.048;1;0;20.35;39.3648;32.8985;0;1858362341;12;0;0;0;0;0;0;0;2
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;17
213;198;3.79028;3.06;138.252;3.06;1;0;21.38;39.3817;32.893;0.0;1858362795;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;199;14.7986;24.048;102.266;24.048;1;0;20.35;39.3648;32.8985;0;1858362341;12;0;0;0;0;0;0;0;3
225157;66;26.7462;4.248;229.691;4.248;1;0;19.88;39.3597;32.903;0;1858358973;12;0;0;0;0;0;0;0;18
225;81;27.6361;6.624;333.468;6.624;1;0;17.97;39.3596;32.9038;0.0;1858362843;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;199;14.7986;24.048;102.266;24.048;1;0;20.35;39.3648;32.8985;0;1858362341;12;0;0;0;0;0;0;0;4
56;124;8.43201;4.824;82.749;4.824;1;0;18.96;39.3533;32.8922;0.0;1858362853;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;199;14.7986;24.048;102.266;24.048;1;0;20.35;39.3648;32.8985;0;1858362341;12;0;0;0;0;0;0;0;5
225157;81;27.6361;6.624;333.468;6.624;1;0;17.97;39.3596;32.9038;0;1858362843;12;0;0;0;0;0;0;0;3
152;191;10.8655;2.196;28.8721;2.196;1;0;25.39;39.3651;32.8959;0.0;1858362973;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;199;14.7986;24.048;102.266;24.048;1;0;20.35;39.3648;32.8985;0;1858362341;12;0;0;0;0;0;0;0;6
225157;81;27.6361;6.624;333.468;6.624;1;0;17.97;39.3596;32.9038;0;1858362843;12;0;0;0;0;0;0;0;4
151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0.0;1858362974;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;81;27.6361;6.624;333.468;6.624;1;0;17.97;39.3596;32.9038;0;1858362843;12;0;0;0;0;0;0;0;5
75151;214;13.8263;1.476;309.232;1.476;1;0;26.67;39.365;32.8977;0;1858362974;12;0;0;0;0;0;0;0;2
154;143;18.902;2.556;31.2506;2.556;1;0;22.7;39.3507;32.8947;0.0;1858362976;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
225157;81;27.6361;6.624;333.468;6.624;1;0;17.97;39.3596;32.9038;0;1858362843;12;0;0;0;0;0;0;0;6
