ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii;Count;MyUniqueID;TrackRadarID
154;110;27.5537;0.576;51.9543;0.576;1;0;35.23;39.3435;32.8927;0.0;228890714;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
123;21;29.1028;93.672;147.327;93.672;1;0;14.92;39.3649;32.9082;0.0;228890735;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
237;234;29.7949;16.452;139.818;16.452;1;0;30.25;39.3644;32.9084;0.0;228890736;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
236;179;28.3667;37.224;70.0983;37.224;1;0;14.88;39.3684;32.9101;0.0;228890863;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
143;117;28.6084;30.024;255.179;30.024;1;0;16.3;39.3597;32.9042;0.0;228890864;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
139;75;35.0629;63.72;325.261;63.72;1;0;33.41;39.3617;32.9103;0.0;228890865;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
228;211;42.951;52.956;145.563;52.956;1;0;31.28;39.3585;32.9133;0.0;228890881;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
133;90;49.8999;1.548;326.695;1.548;1;0;33.47;39.345;32.8992;0.0;228891000;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
203;221;56.1182;1.908;334.204;1.908;1;0;33.4;39.3448;32.9013;0.0;228891029;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
231;251;53.1134;104.472;346.174;104.472;1;0;18.91;39.3537;32.9154;0.0;228891030;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
161;78;55.7831;36.864;324.41;36.864;1;0;15.19;39.3506;32.9122;0.0;228891031;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
8;158;57.5244;29.232;148.277;29.232;1;0;19.65;39.3517;32.916;0.0;228891054;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
146;93;66.5112;2.052;159.45;2.052;1;0;24.75;39.3471;32.9149;0.0;228891141;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
170;140;64.8853;5.292;136.873;5.292;1;0;25.84;39.343;32.9016;0.0;228891143;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
121;59;64.682;37.08;345.394;37.08;1;0;27.64;39.3486;32.9168;0.0;228891171;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
155;67;65.5225;28.764;164.328;28.764;1;0;31.69;39.3484;32.9171;0.0;228891200;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
109;115;75.7782;1.8;330.255;1.8;1;0;41.27;39.3433;32.9137;0.0;228891363;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
191;215;76.0364;0.648;67.6099;0.648;1;0;26.68;39.3412;32.9033;0.0;228891364;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
202;226;79.563;4.752;206.257;4.752;1;0;17.21;39.3427;32.9182;0.0;228891365;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
156;27;79.1949;87.264;259.612;87.264;1;0;22.51;39.3403;32.9013;0.0;228891375;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
213;110;3.22449;11.34;346.014;11.34;1;0;20.29;39.3833;32.8928;0.0;228892429;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
221237;242;29.6356;32.868;131.446;32.868;1;0;18.45;39.3645;32.9083;0;228869887;12;0;0;0;0;0;0;0;2;221_237;2
49139;54;34.8102;9.828;294.285;9.828;1;0;31.22;39.3617;32.9103;0;228887952;12;0;0;0;0;0;0;0;2;49_139;1
17569;53;60.3479;10.008;327.678;10.008;1;0;18.33;39.3491;32.9133;0;228786975;12;0;0;0;0;0;0;0;13;175_69;1
60249;129;18.7152;7.56;278.69;7.56;1;0;27.62;39.3506;32.8948;0;228612724;12;0;0;0;0;0;0;0;555;60_249;1
1773;129;47.2906;26.676;154.99;26.676;1;0;35.66;39.3565;32.9144;0;228774154;12;0;0;0;0;0;0;0;241;177_3;2
167203;179;53.8495;1.26;111.676;1.26;1;0;29.13;39.345;32.9009;0;228829648;12;0;0;0;0;0;0;0;35;167_203;1
24944;236;39.8639;14.616;306.491;14.616;1;0;37.32;39.3597;32.9123;0;228876929;12;0;0;0;0;0;0;0;29;249_44;1
8857;14;69.2688;18.936;163.251;18.936;1;0;16.59;39.3468;32.9175;0;228830622;12;0;0;0;0;0;0;0;99;88_57;1
110135;146;24.7302;72.684;139.466;72.684;1;0;20.44;39.367;32.9062;0;228694676;12;0;0;0;0;0;0;0;401;110_135;2
23231;219;55.7281;103.284;352.189;103.284;1;0;23.23;39.3526;32.916;0;228886920;12;0;0;0;0;0;0;0;13;23_231;2
164232;238;74.3555;57.78;168.052;57.78;1;0;32.08;39.3447;32.918;0;228853988;12;0;0;0;0;0;0;0;99;164_232;1
2296;0;69.7357;84.384;168.481;84.384;1;0;44.85;39.3466;32.9174;0;228886524;12;0;0;0;0;0;0;0;16;22_96;1
137143;144;31.5692;34.416;231.564;34.416;1;0;22.51;39.3593;32.9058;0;228878362;12;0;0;0;0;0;0;0;29;137_143;2
82111;62;75.1794;17.856;147.206;17.856;1;0;27.85;39.3446;32.9188;0;228628539;12;0;0;0;0;0;0;0;31;82_111;2
5822;89;35.1013;104.688;145.712;104.688;1;0;15.58;39.3618;32.9104;0;228878361;12;0;0;0;0;0;0;0;29;58_22;2
153;247;5.96558;47.448;133.566;47.448;1;0;36.67;39.3798;32.8951;0.0;228892431;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
221237;242;29.6356;32.868;131.446;32.868;1;0;18.45;39.3645;32.9083;0;228869887;12;0;0;0;0;0;0;0;3;221_237;2
49139;54;34.8102;9.828;294.285;9.828;1;0;31.22;39.3617;32.9103;0;228887952;12;0;0;0;0;0;0;0;3;49_139;1
17569;53;60.3479;10.008;327.678;10.008;1;0;18.33;39.3491;32.9133;0;228786975;12;0;0;0;0;0;0;0;14;175_69;1
60249;129;18.7152;7.56;278.69;7.56;1;0;27.62;39.3506;32.8948;0;228612724;12;0;0;0;0;0;0;0;556;60_249;1
1773;129;47.2906;26.676;154.99;26.676;1;0;35.66;39.3565;32.9144;0;228774154;12;0;0;0;0;0;0;0;242;177_3;2
167203;179;53.8495;1.26;111.676;1.26;1;0;29.13;39.345;32.9009;0;228829648;12;0;0;0;0;0;0;0;36;167_203;1
24944;236;39.8639;14.616;306.491;14.616;1;0;37.32;39.3597;32.9123;0;228876929;12;0;0;0;0;0;0;0;30;249_44;1
8857;14;69.2688;18.936;163.251;18.936;1;0;16.59;39.3468;32.9175;0;228830622;12;0;0;0;0;0;0;0;100;88_57;1
240228;211;42.951;52.956;145.563;52.956;1;0;31.28;39.3585;32.9133;0;228890881;12;0;0;0;0;0;0;0;3;240_228;2
110135;146;24.7302;72.684;139.466;72.684;1;0;20.44;39.367;32.9062;0;228694676;12;0;0;0;0;0;0;0;402;110_135;2
23231;219;55.7281;103.284;352.189;103.284;1;0;23.23;39.3526;32.916;0;228886920;12;0;0;0;0;0;0;0;14;23_231;2
164232;238;74.3555;57.78;168.052;57.78;1;0;32.08;39.3447;32.918;0;228853988;12;0;0;0;0;0;0;0;100;164_232;1
2296;0;69.7357;84.384;168.481;84.384;1;0;44.85;39.3466;32.9174;0;228886524;12;0;0;0;0;0;0;0;17;22_96;1
137143;144;31.5692;34.416;231.564;34.416;1;0;22.51;39.3593;32.9058;0;228878362;12;0;0;0;0;0;0;0;30;137_143;2
82111;62;75.1794;17.856;147.206;17.856;1;0;27.85;39.3446;32.9188;0;228628539;12;0;0;0;0;0;0;0;32;82_111;2
5822;89;35.1013;104.688;145.712;104.688;1;0;15.58;39.3618;32.9104;0;228878361;12;0;0;0;0;0;0;0;30;58_22;2
171;237;12.8815;57.276;350.392;57.276;1;0;26.64;39.3744;32.9001;0.0;228892651;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
221237;242;29.6356;32.868;131.446;32.868;1;0;18.45;39.3645;32.9083;0;228869887;12;0;0;0;0;0;0;0;4;221_237;2
